Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL304878,1,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(F)cc2)cc1)c1ccc(I)cc1,active,570.424,3.8031,3,5,0,170,0.96875,1.625,2.28125,546.232,6.040958608
CHEMBL1093387,0,Nc1ncn(CC(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)n1,inactive,381.44,0.7597,4,8,0,146,1.25,2.071428571,2.75,358.256,4.698970004
CHEMBL1093385,0,CC(C(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)n1cccn1,inactive,379.464,2.3435,3,6,0,146,1.178571429,2,2.678571429,354.264,4.698970004
CHEMBL1091478,0,CC(C)(C(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)n1cccn1,inactive,393.491,2.5176,3,6,0,152,1.172413793,1.965517241,2.620689655,366.275,4.698970004
CHEMBL1091479,0,Cc1cc(C)n(C(C)C(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)n1,inactive,407.518,2.96034,3,6,0,158,1.2,1.966666667,2.6,378.286,4.698970004
CHEMBL1089395,0,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccccc1-c1ccccc1,inactive,437.543,4.8666,3,4,0,166,0.878787879,1.636363636,2.393939394,410.327,4.886056648
CHEMBL1078394,0,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccccc1-c1ccco1,inactive,427.504,4.4596,3,5,0,162,1,1.84375,2.59375,402.304,5
CHEMBL285481,1,CCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,intermediate,549.697,4.9209,3,8,0,206,0.974358974,1.769230769,2.487179487,514.417,5.698970004
CHEMBL111201,2,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,intermediate,624.71,6.5574,3,7,0,222,0.906976744,1.604651163,2.255813953,597.494,5.638272164
CHEMBL1085928,0,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)OCc1nc2ccccc2[nH]1,active,431.496,3.5723,4,6,0,164,1.09375,1.9375,2.71875,406.296,6.075720714
CHEMBL1204416,0,CC(C(=O)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)n1cccn1.Cl,inactive,415.925,2.7653,3,6,0,154,1.172413793,1.965517241,2.620689655,389.717,4.698970004
CHEMBL95966,0,Cc1cccc(OCC(O)CNCc2ccc(NS(C)(=O)=O)cc2)c1,intermediate,364.467,1.89602,3,5,0,136,1.16,1.88,2.52,340.275,5.619788758
CHEMBL66859,1,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)cc2)cn1,active,511.431,3.3434,4,7,0,176,1.060606061,1.818181818,2.484848485,487.239,6.327902142
CHEMBL68334,0,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1cnc2ccccc2c1,intermediate,478.574,3.0026,3,7,0,176,1,1.823529412,2.617647059,452.366,5.886056648
CHEMBL301202,0,CN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,intermediate,345.424,2.5315,1,3,0,126,1.125,1.833333333,2.5,326.272,5.045757491
CHEMBL1089386,0,O=C(Cn1cc2ccccc2n1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,intermediate,415.497,2.9357,3,6,0,158,1.064516129,1.903225806,2.677419355,390.297,5.508638306
CHEMBL1089052,0,CNc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cs1,active,411.531,2.6267,4,7,0,152,1.24137931,2.068965517,2.75862069,386.331,6.15490196
